27-10-2018 19:28:49.001 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator.getRemoteEnvironment - Fetching config from server at : http://localhost:8080
27-10-2018 19:28:49.512 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator.getRemoteEnvironment - Connect Timeout Exception on Url - http://localhost:8080. Will be trying the next url if available
27-10-2018 19:28:49.513 [main] WARN  o.s.c.c.c.ConfigServicePropertySourceLocator.locate - Could not locate PropertySource: I/O error on GET request for "http://localhost:8080/movieCruiser/default": Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)
27-10-2018 19:28:49.520 [main] INFO  c.stackroute.movieCruiserApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
27-10-2018 19:28:49.610 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext.prepareRefresh - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@324c64cd: startup date [Sat Oct 27 19:28:49 IST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@68f1b17f
27-10-2018 19:28:57.190 [main] INFO  o.s.cloud.context.scope.GenericScope.setSerializationId - BeanFactory id=c7ed8e46-dd5e-3ea7-bae3-8f40f50c6006
27-10-2018 19:28:57.266 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor.<init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
27-10-2018 19:28:57.578 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$1b896b3e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
27-10-2018 19:28:59.106 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
27-10-2018 19:28:59.255 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
27-10-2018 19:28:59.256 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet Engine: Apache Tomcat/8.5.34
27-10-2018 19:28:59.281 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener.log - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib]
27-10-2018 19:29:00.893 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
27-10-2018 19:29:01.121 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean.addRegistration - Servlet dispatcherServlet mapped to [/]
27-10-2018 19:29:01.132 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean.configure - Mapping filter: 'characterEncodingFilter' to: [/*]
27-10-2018 19:29:01.133 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean.configure - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
27-10-2018 19:29:01.134 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean.configure - Mapping filter: 'httpPutFormContentFilter' to: [/*]
27-10-2018 19:29:01.135 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean.configure - Mapping filter: 'requestContextFilter' to: [/*]
27-10-2018 19:29:02.490 [main] INFO  org.mongodb.driver.cluster.info - Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
27-10-2018 19:29:04.009 [cluster-ClusterId{value='5bd46f26bfdc825c87d2d4e5', description='null'}-127.0.0.1:27017] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:1, serverValue:7}] to 127.0.0.1:27017
27-10-2018 19:29:04.028 [cluster-ClusterId{value='5bd46f26bfdc825c87d2d4e5', description='null'}-127.0.0.1:27017] INFO  org.mongodb.driver.cluster.info - Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 6, 3]}, minWireVersion=0, maxWireVersion=6, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=7960915}
27-10-2018 19:29:07.574 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping.initHandlerMethods - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
27-10-2018 19:29:07.950 [main] WARN  c.n.c.sources.URLConfigurationSource.<init> - No URLs will be polled as dynamic configuration sources.
27-10-2018 19:29:07.951 [main] INFO  c.n.c.sources.URLConfigurationSource.<init> - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
27-10-2018 19:29:08.008 [main] WARN  c.n.c.sources.URLConfigurationSource.<init> - No URLs will be polled as dynamic configuration sources.
27-10-2018 19:29:08.008 [main] INFO  c.n.c.sources.URLConfigurationSource.<init> - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
27-10-2018 19:29:10.615 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter.afterSingletonsInstantiated - Registering beans for JMX exposure on startup
27-10-2018 19:29:10.636 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter.autodetect - Bean with name 'refreshScope' has been autodetected for JMX exposure
27-10-2018 19:29:10.646 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter.autodetect - Bean with name 'configurationPropertiesRebinder' has been autodetected for JMX exposure
27-10-2018 19:29:10.649 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter.autodetect - Bean with name 'environmentManager' has been autodetected for JMX exposure
27-10-2018 19:29:10.655 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter.registerBeanInstance - Located managed bean 'environmentManager': registering with JMX server as MBean [org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager]
27-10-2018 19:29:10.733 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter.registerBeanInstance - Located managed bean 'refreshScope': registering with JMX server as MBean [org.springframework.cloud.context.scope.refresh:name=refreshScope,type=RefreshScope]
27-10-2018 19:29:10.763 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter.registerBeanInstance - Located managed bean 'configurationPropertiesRebinder': registering with JMX server as MBean [org.springframework.cloud.context.properties:name=configurationPropertiesRebinder,context=324c64cd,type=ConfigurationPropertiesRebinder]
27-10-2018 19:29:10.796 [main] INFO  o.s.c.s.DefaultLifecycleProcessor.start - Starting beans in phase 2147483647
27-10-2018 19:29:10.797 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper.start - Context refreshed
27-10-2018 19:29:10.958 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper.start - Found 1 custom documentation plugin(s)
27-10-2018 19:29:11.141 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner.scan - Scanning for api listing references
27-10-2018 19:29:11.930 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
27-10-2018 19:29:11.989 [main] INFO  c.stackroute.movieCruiserApplication.logStarted - Started movieCruiserApplication in 34.274 seconds (JVM running for 41.382)
27-10-2018 19:30:21.436 [Thread-5] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext.doClose - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@324c64cd: startup date [Sat Oct 27 19:28:49 IST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@68f1b17f
27-10-2018 19:30:21.541 [Thread-5] INFO  o.s.c.s.DefaultLifecycleProcessor.stop - Stopping beans in phase 2147483647
27-10-2018 19:30:21.544 [Thread-5] INFO  o.s.j.e.a.AnnotationMBeanExporter.destroy - Unregistering JMX-exposed beans on shutdown
27-10-2018 19:30:21.546 [Thread-5] INFO  o.s.j.e.a.AnnotationMBeanExporter.unregisterBeans - Unregistering JMX-exposed beans
