29-10-2018 11:19:54.858 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator.getRemoteEnvironment - Fetching config from server at : http://localhost:8080
29-10-2018 11:19:55.197 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator.getRemoteEnvironment - Connect Timeout Exception on Url - http://localhost:8080. Will be trying the next url if available
29-10-2018 11:19:55.198 [main] WARN  o.s.c.c.c.ConfigServicePropertySourceLocator.locate - Could not locate PropertySource: I/O error on GET request for "http://localhost:8080/movieCruiser/default": Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)
29-10-2018 11:19:55.206 [main] INFO  c.stackroute.movieCruiserApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
29-10-2018 11:19:55.246 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext.prepareRefresh - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@324c64cd: startup date [Mon Oct 29 11:19:55 IST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@57ad2aa7
29-10-2018 11:19:59.043 [main] INFO  o.s.cloud.context.scope.GenericScope.setSerializationId - BeanFactory id=c7ed8e46-dd5e-3ea7-bae3-8f40f50c6006
29-10-2018 11:19:59.079 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor.<init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
29-10-2018 11:19:59.291 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f4a3ffb6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29-10-2018 11:20:00.275 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
29-10-2018 11:20:00.359 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
29-10-2018 11:20:00.360 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet Engine: Apache Tomcat/8.5.34
29-10-2018 11:20:00.373 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener.log - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib]
29-10-2018 11:20:00.670 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
29-10-2018 11:20:00.763 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean.addRegistration - Servlet dispatcherServlet mapped to [/]
29-10-2018 11:20:00.769 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean.configure - Mapping filter: 'characterEncodingFilter' to: [/*]
